fund_id,transaction_date,firm_id,transaction_type,transaction_amount,cumulative_contribution,cumulative_distribution,net_cashflow
3,2021-12-31,152327,Value,0,-10010451,17137892,7127441
9,2020-03-31,741,Value,0,-9140000,16080000,6940000
9,2020-06-30,741,Value,0,-9140000,16080000,6940000
9,2020-09-30,741,Value,0,-9140000,16080000,6940000
9,2020-12-31,741,Value,0,-9140000,16080000,6940000
9,2021-03-31,741,Value,0,-9140000,16080000,6940000
9,2021-06-30,741,Value,0,-9140000,16080000,6940000
9,2021-12-31,741,Value,0,-9140000,16080000,6940000
11,2020-03-31,650,Value,0,-10000000,15676000,5676000
11,2020-06-30,650,Value,0,-10000000,15676000,5676000
11,2020-09-30,650,Value,0,-10000000,15676000,5676000
11,2020-12-31,650,Value,0,-10000000,15676000,5676000
11,2021-03-31,650,Value,0,-10000000,15676000,5676000
11,2021-06-30,650,Value,0,-10000000,15676000,5676000
11,2021-09-30,650,Value,0,-10000000,15676000,5676000
11,2021-12-31,650,Value,0,-10000000,15676000,5676000
14,2021-12-31,4,Value,0,-9747067,24181784,14434717
15,2020-02-29,4,Value,0,-9674336,14187489,4513153
15,2020-05-31,4,Value,0,-9674336,14187489,4513153
15,2020-07-16,4,Distribution,0,-9674336,14187489,4513153
15,2020-08-31,4,Value,0,-9674336,14187489,4513153
15,2020-11-30,4,Value,0,-9674336,14187489,4513153
15,2021-02-28,4,Value,0,-9674336,14187489,4513153
15,2021-05-31,4,Value,0,-9674336,14187489,4513153
15,2021-08-31,4,Value,0,-9674336,14187489,4513153
15,2021-10-16,4,Capital Call,0,-9674336,14187489,4513153
15,2021-10-16,4,Distribution,0,-9674336,14187489,4513153
15,2021-12-31,4,Value,0,-9674336,14187489,4513153
16,2021-12-31,4,Value,0,-8840614,18684730,9844116
27,2020-02-15,7,Distribution,118353,-9695000,16622261,6927261
27,2020-03-31,7,Value,0,-9695000,16622261,6927261
27,2021-12-31,7,Value,0,-9695000,16622261,6927261
28,2020-02-15,7,Distribution,1986,-9930000,17046831,7116831
28,2020-03-31,7,Value,219450,-9930000,17046831,7116831
28,2020-05-16,7,Distribution,5958,-9930000,17052789,7122789
28,2020-06-30,7,Value,223420,-9930000,17052789,7122789
28,2020-08-15,7,Distribution,-5958,-9930000,17046831,7116831
28,2020-09-30,7,Value,206540,-9930000,17046831,7116831
39,2020-03-31,12,Value,0,-9820000,11459939,1639939
39,2020-06-30,12,Value,0,-9820000,11459939,1639939
39,2020-09-30,12,Value,0,-9820000,11459939,1639939
39,2020-12-31,12,Value,0,-9820000,11459939,1639939
39,2021-03-31,12,Value,0,-9820000,11459939,1639939
39,2021-06-30,12,Value,0,-9820000,11459939,1639939
39,2021-09-30,12,Value,0,-9820000,11459939,1639939
39,2021-12-31,12,Value,0,-9820000,11459939,1639939
40,2020-03-31,12,Value,0,-8410003,5357172,-3052831
40,2020-06-30,12,Value,0,-8410003,5357172,-3052831
40,2020-09-30,12,Value,0,-8410003,5357172,-3052831
40,2020-12-31,12,Value,0,-8410003,5357172,-3052831
40,2021-03-31,12,Value,0,-8410003,5357172,-3052831
40,2021-06-30,12,Value,0,-8410003,5357172,-3052831
40,2021-09-30,12,Value,0,-8410003,5357172,-3052831
40,2021-12-31,12,Value,0,-8410003,5357172,-3052831
41,2020-03-31,12,Capital Call,30303,-9924243,22025544,12101301
41,2020-03-31,12,Distribution,19911,-9924243,22045455,12121212
41,2020-09-30,12,Value,0,-9924243,22045455,12121212
41,2021-12-31,12,Value,0,-9924243,22045455,12121212
45,2020-03-31,14,Value,877830,-10000000,12403731,2403731
45,2020-06-30,14,Value,803690,-10000000,12403731,2403731
45,2020-09-30,14,Value,806630,-10000000,12403731,2403731
45,2020-11-15,14,Distribution,412436,-10000000,12816167,2816167
45,2020-12-31,14,Value,403440,-10000000,12816167,2816167
45,2021-03-31,14,Value,429150,-10000000,12816167,2816167
45,2021-06-30,14,Value,416740,-10000000,12816167,2816167
45,2021-09-30,14,Value,418860,-10000000,12816167,2816167
52,2020-03-31,14,Value,0,-10021600,80880006,70858406
52,2020-06-30,14,Value,0,-10021600,80880006,70858406
52,2020-09-30,14,Value,0,-10021600,80880006,70858406
52,2020-12-31,14,Value,0,-10021600,80880006,70858406
52,2021-03-31,14,Value,0,-10021600,80880006,70858406
52,2021-06-30,14,Value,0,-10021600,80880006,70858406
52,2021-09-30,14,Value,0,-10021600,80880006,70858406
52,2021-12-31,14,Value,0,-10021600,80880006,70858406
54,2020-03-31,14,Value,0,-10000000,196200117,186200117
54,2020-06-30,14,Value,0,-10000000,196200117,186200117
54,2020-09-30,14,Value,0,-10000000,196200117,186200117
54,2020-12-31,14,Value,0,-10000000,196200117,186200117
54,2021-03-31,14,Value,0,-10000000,196200117,186200117
54,2021-06-30,14,Value,0,-10000000,196200117,186200117
54,2021-09-30,14,Value,0,-10000000,196200117,186200117
54,2021-12-31,14,Value,0,-10000000,196200117,186200117
55,2020-06-30,14,Value,389690,-10000000,3630816,-6369184
55,2021-06-30,14,Value,378590,-10000000,3630816,-6369184
56,2020-06-30,14,Value,6209850,-7949991,30961475,23011484
58,2020-06-30,14,Value,0,-8032704,11603967,3571263
58,2021-12-31,14,Value,0,-8032704,11603967,3571263
67,2020-02-15,18,Distribution,102950,-10000000,12966445,2966445
67,2020-03-31,18,Value,1356840,-10000000,12966445,2966445
67,2020-06-30,18,Value,1522120,-10000000,12966445,2966445
67,2020-09-30,18,Value,1673800,-10000000,12966445,2966445
67,2020-11-15,18,Distribution,1420021,-10000000,14386466,4386466
67,2020-12-31,18,Value,368980,-10000000,14386466,4386466
