fund_id,transaction_date,firm_id,transaction_type,transaction_amount,cumulative_contribution,cumulative_distribution,net_cashflow
142,2023-12-31,39,Value,69000,-9500000,8458999.98,-1041000.03
195,2023-12-31,6733,Value,0,-15526565.52,31162162.62,15635597.1
240,2023-12-31,75,Value,0,-10629932.98,17172103.76,6542170.78
320,2023-12-31,111,Value,26175.29,-12065698.14,28765890.9,16700192.76
321,2023-12-31,111,Value,62824.3,-11122641.8,13547354.24,2424712.44
585,2023-12-31,94970,Value,750000,-9862000,27924000.04,18062000.04
695,2023-12-31,268,Value,990847.2,-10200000,10791087.25,591087.25
816,2023-12-31,304,Value,163201.4,-8093445.8,16779407.43,8685961.63
991,2023-12-31,368,Value,153047.8,-10000000,16288916.8,6288916.8
1000,2023-12-31,375,Value,0,-9746666.67,12203333.3,2456666.63
1057,2023-12-31,400,Value,58347.5,-10000000,5734357.5,-4265642.5
1124,2023-12-31,436,Value,8147.05,-10258378.5,21247301.37,10988922.87
1194,2023-12-31,458,Value,39296.67,-9951310.67,16674472.68,6723162.01
1216,2023-12-31,472,Value,37299.6,-9522599.2,22210853.57,12688254.37
1267,2023-12-31,496,Value,0,-10000000,10199917.5,199917.5
1339,2023-12-31,533,Value,601551.07,-9586424.8,19847519.17,10261094.37
1354,2023-12-31,537,Value,259493.33,-10000000,16352288.3,6352288.3
1356,2023-12-31,537,Value,455122.64,-10000000,11260597.3,1260597.3
1392,2023-12-31,553,Value,2828.5,-10000000,6514497.7,-3485502.3
1397,2023-12-31,553,Value,0,-10000000,12646558.7,2646558.7
1515,2023-12-31,1597,Value,104531,-9950000,12290582.38,2340582.38
1530,2023-12-31,739,Value,179324,-9724569.2,16679031.56,6954462.36
1755,2023-12-31,710,Value,0,-10000000,21742666.7,11742666.7
1802,2023-12-31,750,Value,0,-10000000,4279438,-5720562
1829,2023-12-31,1632,Value,78899.2,-10000000,21411588,11411588
1884,2023-12-31,767,Value,0,-10000000,7000255.8,-2999744.2
2004,2023-12-31,819,Value,0,-10000000,5100000,-4900000
2283,2023-12-31,920,Value,254200.76,-14432784.85,11004498.79,-3428286.06
2937,2023-12-31,545,Value,30690.4,-11804000,34813537.2,23009537.2
2941,2023-12-31,1886,Value,110604.9,-9308273.38,15577446.6,6269173.22
3129,2023-12-31,886,Value,261494.05,-13063875.97,15367061.73,2303185.76
3528,2023-12-31,733,Value,15436.45,-11290583.05,21444612.2,10154029.15
3609,2023-12-31,18,Value,382193.16,-9550000.27,15121818.81,5571818.54
3610,2023-12-31,18,Value,462512.31,-9531000.07,13273603.15,3742603.08
3645,2023-12-31,573,Value,149236,-7935000,12254080.01,4319080.01
3755,2023-12-31,434,Value,2627675.84,-9133333.33,15073639.99,5940306.66
3779,2023-12-31,573,Value,2316.96,-9300278.04,11489805.39,2189527.35
3851,2023-12-31,1886,Value,0,-9700000,16095359.77,6395359.77
3852,2023-12-31,1886,Value,300398.57,-9700000,17272938.41,7572938.41
4022,2023-12-31,268,Value,2948088.4,-9737500,10698407.99,960907.99
4421,2023-12-31,902,Value,2518592,-10154868,30992472.01,20837604.01
4500,2023-12-31,553,Value,25285.9,-10000000,8229220.9,-1770779.1
4568,2023-12-31,93,Value,0,-10000000,18453333.3,8453333.3
4856,2023-12-31,599,Value,71814.6,-8910386.2,11450902.59,2540516.39
4916,2023-12-31,472,Value,118518.52,-10729629.63,9729629.65,-999999.98
5198,2023-12-31,733,Value,0,-10864131.22,22975221.46,12111090.24
5337,2023-12-31,506,Value,0,-9550000,5256999.96,-4293000.04
5344,2023-12-31,458,Value,51650.2,-9837402.2,14595837.07,4758434.87
5345,2023-12-31,633,Value,242768,-10000000,3211510,-6788490
5365,2023-12-31,11,Value,0,-10016000,20468528.63,10452528.63
5372,2023-12-31,753,Value,2052895.29,-10000000,13647660,3647660
5429,2023-12-31,75,Value,512512.5,-9875000,14700912.5,4825912.5
5481,2023-12-31,462,Value,0,-10008000,16809436.8,6801436.8
5485,2023-12-31,618,Value,0,-10000000,14753000,4753000
5495,2023-12-31,111,Value,43723.5,-10886330.36,17548994.24,6662663.88
5512,2023-12-31,302,Value,23802.45,-9943172.4,16393269.46,6450097.06
5528,2023-12-31,888,Value,1794244.8,-9999760.8,16829096.04,6829335.24
5530,2023-12-31,70,Value,0,-10202429.25,18611604.96,8409175.71
5567,2023-12-31,710,Value,686324.79,-10000000,18316239.3,8316239.3
5606,2023-12-31,785,Value,4598.1,-10117336.8,13358235.64,3240898.84
5626,2023-12-31,68,Value,739344,-10000000,13089764,3089764
5652,2023-12-31,814,Value,15736.16,-10800137.23,12898083.65,2097946.42
5688,2023-12-31,245,Value,611914.4,-9875000,10773360.75,898360.75
5696,2023-12-31,94970,Value,13195.84,-8942345.94,17887424.84,8945078.9
5830,2023-12-31,18,Value,359766.66,-9505000,12608333.36,3103333.36
5831,2023-12-31,18,Value,214124.29,-9495000,15126746.56,5631746.56
